"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Czech Republic","CZE","Rural population","SP.RUR.TOTL","3884203","3828621","3796447","3767312","3742092","3714591","3683086","3647740","3609212","3569696","3509276","3410396","3307236","3209952","3116999","3025935","2934700","2842920","2750823","2658820","2558840","2525602","2532083","2537294","2541852","2546549","2550807","2555063","2560031","2564468","2560605","2560857","2576685","2592690","2606957","2618682","2629045","2639712","2650698","2661463","2667547","2668884","2670674","2676944","2684795","2695557","2709931","2733000","2762927","2786024","2801381","2814526","2817206","2808362","2801426","2797131","2792682","2788986","2785892","2782553","",
"Germany","DEU","Rural population","SP.RUR.TOTL","20836712","20768071","20903401","21050022","21171231","21304018","21433533","21482504","21528785","21650322","21673217","21667597","21726668","21750209","21713675","21588023","21451007","21357951","21295639","21260524","21260046","21178760","21066192","21014164","21066224","21199425","21282187","21144436","21099829","21281747","21353187","21388515","21478393","21508871","21410142","21300002","21188909","21048482","20880191","20723743","20581651","20447486","20313617","20157322","19986263","19809155","19622894","19432962","19234290","19025087","18836498","18334806","18361215","18403327","18472108","18624547","18755733","18795376","18809664","18807964","",
"Djibouti","DJI","Rural population","SP.RUR.TOTL","41546","42968","44635","46503","48464","50458","52513","54656","56831","58960","61026","62874","64578","66623","69558","73662","79115","85525","91882","96991","100164","101128","100394","100404","102661","106722","112981","120910","129351","136720","141949","144951","146623","147159","147787","149402","152243","156010","160324","164599","168403","171687","174605","177224","179660","182020","184283","186438","188587","190863","193254","195799","198473","201196","203878","206407","208790","211025","213101","215011","",
"Dominica","DMA","Rural population","SP.RUR.TOTL","37299","37894","38442","38980","39562","40206","40949","41753","42542","43218","43580","43320","42849","42282","41743","41331","41061","40908","40771","40524","40098","39317","37859","36305","34717","33153","31608","30089","28627","27264","25999","24995","24994","25035","25047","25004","24886","24706","24500","24317","24193","24115","23962","23838","23719","23576","23406","23219","23017","22815","22614","22417","22223","22028","21837","21655","21478","21308","21142","20978","",
"Denmark","DNK","Rural population","SP.RUR.TOTL","1205031","1179808","1157609","1135659","1113984","1092288","1073702","1055896","1036317","1016431","998714","980763","961831","943557","924147","903388","882632","870832","859096","846933","833875","823805","817570","811434","805438","800242","795833","791356","786304","781335","779212","779794","780980","782186","783426","786105","789145","791005","792450","793693","795603","795779","792950","789180","780089","766524","755890","748599","742353","737112","732572","726570","718964","713546","710514","708958","707867","705807","702536","698575","",
"Dominican Republic","DOM","Rural population","SP.RUR.TOTL","2299665","2346518","2391687","2435641","2477979","2518531","2556950","2593177","2626987","2658553","2687503","2713812","2737385","2758402","2776557","2792046","2804705","2814712","2821812","2825973","2827093","2825433","2848818","2893816","2938192","2982078","3025367","3068042","3110237","3152199","3193951","3235550","3276932","3317652","3323050","3315517","3305089","3292294","3276981","3259470","3240026","3218886","3195871","3132570","3051042","2968435","2884527","2799791","2714468","2629580","2544678","2470279","2403082","2336313","2269884","2203775","2138192","2073505","2011297","1951483","",
"Algeria","DZA","Rural population","SP.RUR.TOTL","7684109","7731723","7760418","7783587","7804639","7826355","7891247","8097235","8311694","8530684","8751316","8973172","9197427","9426366","9663092","9909819","10166564","10386573","10536605","10691725","10852168","11018346","11187124","11355130","11517502","11671559","11814562","11953235","12096827","12227217","12342362","12442282","12525737","12591017","12634410","12654288","12650696","12627679","12586453","12519461","12442038","12356671","12263898","12168749","12076158","11990255","11911270","11839539","11774718","11721662","11678282","11645141","11620781","11603754","11591085","11581514","11573776","11567453","11558343","11542954","",
"East Asia & Pacific (excluding high income)","EAP","Rural population","SP.RUR.TOTL","743471955","738916400","744507005","759189311","773278283","793351293","816054016","837634947","859849468","883328419","907464438","932058603","954971028","976028439","994820048","1013629466","1029470065","1043886455","1055103971","1063119907","1070144823","1077100762","1085439030","1094944228","1103080587","1111310447","1120211616","1129708361","1138875966","1146990379","1154085891","1159016577","1162064359","1163943630","1165110963","1165390181","1164785765","1163498565","1161123336","1157425792","1152284796","1144183170","1133764198","1122361375","1110165212","1097496797","1084724949","1071589703","1058003473","1044057230","1029764585","1016521028","1003677626","990766890","977689891","964368900","950970882","937504580","923554212","909282997","",
"Early-demographic dividend","EAR","Rural population","SP.RUR.TOTL","755521150","770416682","785436187","800839375","816619221","832779858","849294028","866186835","883406862","900928876","918731463","936595933","954004550","971602795","989344295","1009199596","1027351382","1045681023","1064255195","1083375209","1102884555","1122938025","1144731678","1166900193","1189111616","1211187996","1233152778","1255206676","1277027147","1298412842","1320096170","1341457802","1362570910","1383367236","1403895832","1424381699","1444940987","1465468447","1485734605","1505606087","1524907624","1543796468","1561191078","1578152952","1594747169","1610990137","1626927071","1642568363","1657709522","1672375751","1686619019","1700682610","1714033735","1726826343","1739087940","1750635426","1761730086","1772300060","1782321957","1791866077","",
"East Asia & Pacific","EAS","Rural population","SP.RUR.TOTL","805980797","801969177","807504372","822123978","836115909","856080447","878652623","899712650","921260262","944664598","968401382","992590190","1015067661","1035478251","1053913239","1072130768","1087500097","1101644350","1112528702","1120191196","1126824236","1133327192","1141193633","1150179507","1157716161","1165297024","1173347899","1181822947","1190027255","1197227281","1203419861","1207827015","1210560391","1212132130","1213028359","1213047184","1212307261","1210959597","1208526619","1204728369","1199492094","1189702256","1177059343","1163546787","1149310918","1134720050","1120399865","1105876303","1091047984","1075918855","1060510961","1046921651","1033991760","1020995899","1007842018","994448049","980967113","967396666","953328870","938907166","",
"Europe & Central Asia (excluding high income)","ECA","Rural population","SP.RUR.TOTL","138521448","138810262","139065686","139271853","139414252","139426549","139051368","138590625","138070989","137511107","136929069","136442472","135991339","135511326","135008652","134526064","134144205","133780337","133382257","133223223","133366807","133130456","132676499","132185783","131720024","131261577","130931551","130652749","130293886","130257843","130482866","130896909","131308372","131521307","131488088","131270502","131106450","130949501","130783135","130520167","130209447","129763434","129253292","128722022","128216058","127714026","127248088","126881304","126652121","126606338","126677180","126860348","127049447","127300758","127535645","127772284","127957756","128057498","128044562.5","127955945","",
"Europe & Central Asia","ECS","Rural population","SP.RUR.TOTL","295851260","295673924","295530374","295157171","294678031","293960553","292782552","291551695","290284806","289110410","287730765","286407287","285301240","284170788","282983400","281937018","281005677","279928324","278758309","277853395","277315749","276490969","275729849","274988940","274366675","273820784","273334722","272666876","271976413","271880458","271996317","272123724","272319987","272450744","272173218","271634888","271117794","270606990","270078271","269476612","268691060","267673400","266428698","265311756","264268033","263212150","262165579","261225564","260412506","259716288","259013149","258099680","257590436","257277892","256979724","256594068","256112541","255430310","254589521.5","253655342","",
"Ecuador","ECU","Rural population","SP.RUR.TOTL","3004363","3063172","3123095","3186850","3253852","3322584","3392889","3464666","3537475","3611266","3685446","3760133","3834996","3909901","3982844","4031324","4077200","4120783","4161878","4200752","4237384","4271960","4304098","4341793","4382997","4422901","4461038","4497506","4531857","4564486","4594712","4638364","4690878","4741930","4790972","4837991","4882915","4925791","4965867","5002228","5034533","5062679","5110442","5171926","5232706","5293779","5355641","5417823","5479974","5541148","5600648","5662950","5727275","5792131","5860546","5933924","6013650","6098122","6180950","6256951","",
"Egypt, Arab Rep.","EGY","Rural population","SP.RUR.TOTL","16548615","16892631","17254178","17618184","17985249","18355373","18729440","19106001","19479864","19845419","20198540","20538113","20867337","21192274","21521547","21860833","22212343","22661196","23186232","23736546","24314574","24920007","25552099","26211765","26899855","27615430","28360595","29179302","30040280","30894792","31728328","32533878","33315710","34084669","34857600","35646341","36455818","37210525","37930106","38652676","39373718","40097156","40825823","41558212","42292174","43028043","43761870","44531291","45346376","46215192","47158179","48181672","49307345","50485238","51687636","52891003","54087949","55256784","56392783","57492249","",
"Euro area","EMU","Rural population","SP.RUR.TOTL","100538015","100180421","99791923","99215558","98600855","97956101","97230576","96393014","95630142","95073453","94414749","93809042","93471334","93153523","92800142","92530746","92285114","91929728","91570817","91218804","90886987","90511829","90286256","90135359","90077535","90086529","90037145","89766918","89576085","89626565","89581311","89487460","89435631","89284088","88966847","88632127","88302202","87959454","87596727","87258651","86939738","86612989","86247229","85899023","85568127","85210813","84822684","84503088","84159852","83669555","83090936","82147547","81607035","81191581","80797363","80325458","79832861","79252606","78652254","78051682","",
"Eritrea","ERI","Rural population","SP.RUR.TOTL","908856","928817","949792","971563","993876","1016538","1039438","1062645","1089070","1116391","1144743","1174185","1204690","1236209","1268673","1302039","1336150","1371069","1407081","1444634","1483977","1524515","1565800","1608109","1650817","1688177","1727180","1766569","1801113","1824203","1831655","1822378","1799439","1768179","1735811","1707963","1684842","1666404","1656964","1661609","1682931","1722742","1777901","1840344","1899402","1947596","1982891","2007170","2021434","2040896","2055234","2064302","","","","","","","","","",
"Spain","ESP","Rural population","SP.RUR.TOTL","13227520","13124738","12934262","12735859","12549483","12373341","12186583","12022749","11865098","11668253","11484091","11346103","11232265","11118088","11000753","10881129","10757865","10631094","10496542","10353322","10201721","10089484","10060595","10020407","9972794","9920133","9860687","9797703","9730502","9658018","9580406","9535852","9550559","9567936","9581167","9590975","9598296","9606162","9613419","9619750","9630000","9663982","9722744","9796815","9862593","9925418","9988509","10067486","10120932","10102486","10041047","9968815","9868179","9728205","9590865","9473817","9371187","9281373","9209330","9149372","",
"Estonia","EST","Rural population","SP.RUR.TOTL","514503","510808","508171","505607","503223","500376","495998","490134","484868","480160","476747","475284","473219","470361","467017","463267","459138","455120","450848","447886","447435","447430","447486","447388","447111","446909","447040","447304","446860","448250","451436","452063","446743","438168","431632","426680","423107","420938","419548","423427","427924","426956","425998","425074","424271","423570","422804","422596","423176","424069","424820","425245","423607","420151","417118","415458","413645","412117","411399","410566","",
"Ethiopia","ETH","Rural population","SP.RUR.TOTL","20726286","21163557","21625151","22107790","22605793","23115842","23630786","24151441","24718783","25323798","25974790","26687632","27449833","28211705","28904937","29486030","29933270","30276599","30587172","30965215","31483460","32166570","32994952","33939351","34951821","35996251","37064520","38169153","39322336","40543788","41843938","43226654","44678868","46169949","47661483","49159894","50636303","52086904","53525989","54979174","56463268","57985266","59538010","61121268","62729412","64359940","66010207","67672870","69226765","70820858","72461599","74153611","75887753","77667875","79458307","81245145","83021629","84790179","86546264","88290020","",
"European Union","EUU","Rural population","SP.RUR.TOTL","147482007","146816702","146174377","145361282","144520284","143571368","142579591","141631021","140712405","139938082","138983627","137999459","137319686","136665732","136003821","135474689","134975600","134318664","133577700","132850932","132191041","131620737","131243288","130914822","130666146","130469070","130206394","129719424","129284257","129077671","128796846","128378377","128090427","127956846","127678860","127320243","126929964","126544765","126150573","125772749","125253571","124617190","123919996","123399627","122915396","122398830","121849700","121296150","120724015","120090967","119335939","118260975","117601610","117080051","116581489","115989540","115358720","114625095","113861477","113088432","",
"Fragile and conflict affected situations","FCS","Rural population","SP.RUR.TOTL","149746842","152302469","154948972","157661661","160454181","163297546","166249864","169285316","172395122","175568130","178797674","181967334","185228751","188644533","192411820","196423866","200714733","205274708","209979034","214683076","219201160","223298049","227234061","230927170","234399624","237852906","241313742","244789465","248500139","252610506","257703885","263100644","269006683","275260091","281722760","287939081","293845663","299446090","304949826","310569914","316472473","322242181","328321469","334607345","341040669","347500680","353982178","360887149","367295561","373717589","380118152","386823779","393679898","400508659","407257899","413597357","419829531","425964163","432103196","438387014","",
"Finland","FIN","Rural population","SP.RUR.TOTL","1980489","1948522","1924044","1899880","1872544","1841101","1810359","1782653","1753154","1715054","1671905","1636243","1606899","1577275","1546998","1515623","1482252","1449014","1416158","1383190","1351318","1318646","1285267","1252696","1219718","1185942","1152471","1120036","1088226","1057858","1028850","1010620","1001945","992568","982659","972370","962241","952617","942729","932575","922245","914750","909949","905083","900709","896820","893317","890197","887391","884704","870472","845258","820704","809047","809669","809601","809183","808330","806259","803426","",
"Fiji","FJI","Rural population","SP.RUR.TOTL","276692","284064","291695","299284","306409","312798","318333","324000","329365","334514","339625","344781","349928","355036","360034","364883","369462","375018","381053","387751","395358","404160","413866","423493","431694","437578","440705","437927","433144","428634","425406","423731","423186","423285","423282","422638","421356","422275","423099","423188","422469","420799","418292","415505","413191","411862","411749","412601","412993","412665","411242","408558","404887","400725","396697","393262","390529","388346","386541","384905","",
"France","FRA","Rural population","SP.RUR.TOTL","17772180","17664656","17490550","17148690","16788618","16404578","15992441","15559227","15230855","15134430","15039167","14947305","14855989","14761954","14657476","14601385","14641033","14669242","14690231","14711747","14738057","14771065","14807306","14846299","14887228","14928512","14970476","15013298","15055081","15093425","15108669","15091320","15065323","15029669","14984269","14937872","14889277","14841301","14795595","14752730","14697577","14647859","14598404","14545385","14495491","14449118","14393065","14326191","14247471","14159842","14066100","13968980","13868665","13770626","13664265","13539246","13400202","13252520","13095854","12936523","",
"Faroe Islands","FRO","Rural population","SP.RUR.TOTL","27213","27310","27367","27407","27425","27431","27463","27629","27784","27954","28106","28245","28391","28529","28660","28775","28865","28943","29200","29510","29822","30126","30427","30727","31043","31384","31760","32167","32540","32812","32811","32440","31842","31185","30572","30080","29731","29605","29661","29784","29753","29526","29274","29069","28918","28738","28605","28532","28436","28335","28246","28173","28120","28082","28056","28044","28048","28074","28097","28124","",
"Micronesia, Fed. Sts.","FSM","Rural population","SP.RUR.TOTL","34582","35573","36569","37598","38715","39934","41301","42771","44203","45379","46181","46519","46504","46333","46378","46804","47643","48840","50321","51952","53644","55499","57456","59437","61385","63246","64977","66570","68115","69711","71438","73335","75346","77292","78935","80574","81812","82565","82980","83262","83419","83241","83130","83030","82816","82430","81848","81135","80442","80006","79964","80375","81176","82246","83379","84442","85388","86260","87067","87852","",
"Gabon","GAB","Rural population","SP.RUR.TOTL","413777","413086","411105","409287","407749","406554","405721","405111","404336","402983","400734","395912","390078","383532","376523","369283","361820","354134","346142","337830","329157","320219","318009","315741","313383","310976","308474","305853","301778","297509","292984","288227","283239","278050","275722","273439","270960","268329","265534","262568","259442","256217","252922","249696","246689","244014","241596","239411","237515","236045","234964","234299","233862","233385","232630","231424","229721","227626","225279","222885","",
"United Kingdom","GBR","Rural population","SP.RUR.TOTL","11295344","11418528","11588798","11749886","11901600","12053854","12196452","12339783","12477844","12608008","12737421","12839362","12790427","12723565","12639936","12547912","12454324","12359759","12271069","12192652","12118256","12062199","12085470","12117759","12164599","12220513","12277190","12331725","12387604","12448431","12514322","12569161","12568650","12564188","12560917","12559379","12556499","12554474","12556019","12563329","12572963","12562339","12439896","12323786","12220136","12131582","12048279","11970758","11893520","11813186","11736055","11658599","11569870","11477678","11392615","11313292","11228768","11135542","11033746","10926089","",
"Georgia","GEO","Rural population","SP.RUR.TOTL","2075477","2090349","2103850","2116256","2127156","2135939","2140828","2142021","2141408","2141260","2142101","2145027","2147142","2146323","2145057","2140769","2135940","2130131","2122022","2119585","2122292","2124502","2127121","2130315","2132914","2135888","2139042","2140742","2145850","2148180","2159075","2185875","2214567","2243390","2220726","2149958","2084148","2028799","1989403","1958910","1931011","1910922","1892142","1864034","1837288","1810550","1785270","1761043","1740846","1710767","1683754","1655877","1629406","1610308","1596856","1585179","1571628","1557150","1541599","1523906","",
"Ghana","GHA","Rural population","SP.RUR.TOTL","5092406","5218606","5349805","5481292","5606635","5722025","5824549","5916289","6003325","6094111","6205870","6355390","6516858","6682514","6841044","6985269","7111878","7225671","7337568","7462366","7610699","7786288","7985312","8201844","8409921","8578316","8742637","8904626","9065019","9226515","9389747","9554789","9719939","9882467","10038031","10184615","10321034","10449176","10570418","10688430","10809847","10945141","11079832","11215329","11353039","11494571","11639794","11787623","11934842","12077977","12213131","12339950","12459318","12572643","12681431","12786684","12888365","12986138","13079667","13168802","",
"Gibraltar","GIB","Rural population","SP.RUR.TOTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Guinea","GIN","Rural population","SP.RUR.TOTL","3128253","3163611","3199076","3234824","3271205","3308320","3346294","3384734","3422494","3458186","3490824","3520293","3547113","3571595","3593949","3614781","3634126","3652786","3672226","3694477","3720948","3751893","3786792","3840889","3923079","4014346","4115217","4224642","4339755","4456556","4571992","4684767","4795184","4904575","5014705","5126903","5241814","5359468","5477156","5590394","5696899","5795665","5888330","5978538","6071558","6171103","6278882","6394111","6514668","6637233","6759655","6881054","7003176","7129889","7266423","7414738","7575990","7748205","7927783","8109741","",
"Gambia, The","GMB","Rural population","SP.RUR.TOTL","320770","326519","332274","337783","341849","346363","351357","356751","362405","368157","373869","379481","385008","391022","399371","408084","417277","426950","436831","446633","456179","465198","473913","483081","493421","506234","521769","539384","557650","574781","589486","601461","611142","619692","629478","639202","648888","658428","667882","677379","686945","696698","706582","716915","728988","740687","751942","762841","773507","784222","795067","806088","817154","828293","839411","850447","861418","872296","883084","893748","",
"Guinea-Bissau","GNB","Rural population","SP.RUR.TOTL","532342","537150","541500","545824","550694","556552","563420","571140","579626","588740","598268","608505","619312","629636","638090","643814","646245","646044","645071","644804","642507","643912","648219","654253","660369","665425","669088","671668","673276","674215","674588","674425","680869","692468","703767","714604","724907","734840","744708","754953","765913","777715","790255","803516","817360","831745","846592","861973","877928","894567","911869","929853","948414","967362","986438","1005440","1024313","1043049","1061609","1080000","",
"Equatorial Guinea","GNQ","Rural population","SP.RUR.TOTL","190129","191133","193428","195981","199140","203075","208116","213935","219251","222336","222047","218023","210942","202051","193165","185685","179767","175335","173318","174760","180269","190442","204769","221443","235309","246694","255102","261128","265493","269365","273541","278117","282824","287797","293059","295607","298230","300992","303730","306302","308595","310578","312252","313757","315221","316753","318262","319636","320706","321348","321403","320846","319669","327832","335751","343372","350725","357828","364641","371174","",
"Greece","GRC","Rural population","SP.RUR.TOTL","3671291","3657099","3604016","3542618","3480851","3422784","3373709","3326787","3274028","3212148","3146066","3095190","3070665","3040175","3006938","2990786","2992672","2986905","2980527","2972373","2956103","2943518","2942728","2940794","2936381","2928830","2919496","2910173","2901692","2897805","2909451","2927247","2937007","2941678","2943828","2944834","2945109","2946985","2950498","2949028","2948257","2942226","2910513","2875284","2840339","2807039","2774156","2740132","2706538","2673237","2636648","2593105","2539911","2483072","2428790","2375617","2329011","2288166","2247680","2208848","",
"Grenada","GRD","Rural population","SP.RUR.TOTL","62654","63455","64085","64553","64865","65040","65063","64940","64695","64377","64043","63806","63579","63301","62912","62377","61626","60722","59902","59503","59730","60727","62366","64258","65854","66787","66901","66347","65420","64574","64130","64143","64378","64847","65347","65719","65940","66060","66106","66120","66124","66163","66416","66660","66885","67093","67274","67445","67622","67841","68133","68500","68906","69341","69765","70147","70488","70778","71027","71238","",
"Greenland","GRL","Rural population","SP.RUR.TOTL","13476","13545","13508","13474","13335","13308","13166","13051","12939","12805","12647","12540","12715","12782","12795","12703","12611","12367","12125","12033","11987","11987","11912","11860","11804","11725","11600","11541","11499","11414","11288","11082","10894","10762","10710","10657","10565","10513","10462","10392","10341","10228","10136","10026","9914","9760","9554","9342","9132","8963","8887","8673","8408","8161","7987","7816","7683","7542","7386","7280","",
"Guatemala","GTM","Rural population","SP.RUR.TOTL","2843931","2901164","2958885","3016780","3077682","3152015","3226487","3300619","3373861","3445722","3516147","3585090","3653075","3720477","3787858","3854961","3922313","3991116","4063075","4139744","4222128","4310100","4403350","4500312","4600307","4703063","4808325","4915976","5025695","5137329","5249791","5362123","5473038","5581926","5689267","5796192","5901847","6006636","6113086","6221658","6335891","6450059","6559052","6664800","6770217","6873860","6975317","7074356","7170952","7265539","7357571","7449392","7538790","7625644","7709179","7788224","7863355","7934315","8001178","8063081","",
"Guam","GUM","Rural population","SP.RUR.TOTL","33273","33199","33191","33222","33256","33263","33234","33181","33099","32993","31940","28158","24525","21139","18045","15280","12845","10739","8931","7397","6505","6931","7385","7868","8384","8931","9511","10125","10779","11474","12010","11939","11865","11785","11687","11565","11420","11253","11066","10860","10673","10584","10477","10354","10223","10089","9952","9814","9676","9541","9409","9281","9157","9041","8938","8847","8772","8709","8653","8601","",
"Guyana","GUY","Rural population","SP.RUR.TOTL","405940","418096","429923","441225","451792","461464","470155","477915","484906","491412","497507","502912","507955","512766","517541","522335","527298","532279","536816","540234","542300","544117","544489","543589","541692","539050","535548","531327","527226","524348","523416","524906","528483","533067","537101","539474","539799","538469","536155","533903","532453","532032","532390","534215","536453","538566","540487","542366","544392","546814","549831","553493","555974","558834","561741","564515","567093","569493","571742","573854","",
"High income","HIC","Rural population","SP.RUR.TOTL","289957672","290297323","290003082","289442357","288747068","287829206","286741947","285292928","283640930","282691871","281528428","281020564","280599797","279941731","279527278","279065259","278703130","278368718","277944774","277566133","277050368","276269696","275720797","275181200","274620956","274081889","273290677","272194753","271213284","270607569","269910210","269068836","268404526","267881718","267192659","266434628","265684208","264979536","264221026","263436265","262649009","260520368","257773604","255284446","252968147","250777535","248983270","247336839","245835648","244280268","242613079","241254048","240552935","239916282","239301428","238552952","237736349","236697441","235514218","234218545","",
"Hong Kong SAR, China","HKG","Rural population","SP.RUR.TOTL","455190","465932","476544","483476","485492","488523","483067","485528","485985","483915","485809","483858","475286","471072","468381","459768","448321","437973","429363","436525","431477","425350","416422","407510","396584","386299","317775","175228","95163","51517","27553","9663","1218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Honduras","HND","Rural population","SP.RUR.TOTL","1574904","1607568","1640447","1673811","1707893","1742995","1779106","1816202","1854069","1892574","1931487","1970746","2010389","2050681","2093407","2140743","2189549","2239687","2290919","2342971","2395663","2448898","2502653","2556787","2611122","2665665","2720298","2774975","2830488","2890314","2950387","3010565","3070864","3131834","3193926","3257506","3322674","3388977","3455622","3521504","3585869","3648463","3699535","3747375","3792452","3835037","3874788","3911677","3945305","3975541","4001951","4024672","4043671","4059814","4073539","4085776","4096486","4105675","4113430","4119684","",
"Heavily indebted poor countries (HIPC)","HPC","Rural population","SP.RUR.TOTL","141739121","144530545","147410935","150375305","153413425","156544757","159805266","163155433","166590170","170098838","173738772","177459271","181268283","185154574","189130924","193145972","197194419","201314159","205468626","209865011","214295257","218751977","223251373","227763649","232327918","236979172","241853776","246954537","252307449","258063341","264077162","270537777","277352331","284465064","291868547","299247785","306532284","313693779","320946610","328408607","336188025","344166317","352407044","360826731","369405361","377964936","386530423","395544552","404012541","412661491","421530956","430630806","440072437","449717958","459496342","469358184","479293956","489286527","499283971","509234672","",
"Croatia","HRV","Rural population","SP.RUR.TOTL","2891751","2873765","2853722","2832090","2808089","2783585","2758978","2732069","2703371","2673100","2638703","2607008","2588493","2569851","2551324","2532902","2515402","2497414","2477863","2453749","2424775","2403196","2398819","2394948","2389894","2384230","2377862","2370489","2361531","2350879","2339143","2280881","2215245","2216595","2230739","2204725","2164211","2143249","2131554","2111986","2080978","1993228","1987174","1980467","1973788","1969090","1962310","1954640","1947168","1937891","1926284","1912496","1898807","1885015","1868155","1843070","1819891","1787283","1759939","1739182","",
"Haiti","HTI","Rural population","SP.RUR.TOTL","3263309","3312218","3361435","3410889","3460420","3510047","3559837","3609764","3658992","3706632","3752113","3795185","3854241","3917685","3984104","4055080","4130930","4211393","4296952","4387831","4484009","4585900","4693016","4758996","4813458","4863160","4907171","4945724","4978850","5007425","5031407","5050796","5065089","5118779","5170566","5220569","5268719","5316983","5363489","5408053","5450691","5401948","5345722","5282657","5276346","5274601","5270085","5262880","5252466","5239211","5222499","5202473","5179077","5152493","5122176","5088190","5051860","5013889","4974507","4934129","",
"Hungary","HUN","Rural population","SP.RUR.TOTL","4401831","4379303","4350895","4319558","4290506","4259900","4230146","4203213","4176578","4151312","4123586","4091134","4059050","4028025","4001823","3981051","3958606","3932744","3902097","3864948","3835546","3816417","3794791","3769746","3742901","3716933","3691570","3666384","3641801","3583700","3543962","3556728","3568401","3577385","3585524","3593550","3600375","3606198","3610855","3613643","3617236","3599271","3547284","3495810","3446941","3392784","3334127","3276073","3217942","3161144","3108907","3055537","3008052","2972574","2937544","2903693","2867756","2832442","2800601","2770367","",
"IBRD only","IBD","Rural population","SP.RUR.TOTL","1420464562","1424700181","1438991214","1462534972","1485525961","1514481650","1545806220","1576329459","1607662300","1640530170","1674334898","1708612429","1740988873","1771799294","1800500748","1827293732","1853169036","1877787464","1899281793","1917959648","1936294309","1954682500","1974920029","1996414445","2016566716","2036708404","2057456234","2078852435","2099798652","2119950594","2139146974","2156234281","2171435804","2185278097","2197977552","2209566939","2220241360","2230015300","2238498082","2245450164","2250537966","2252474017","2251155085","2248710106","2245240240","2240940341","2236330133","2231109110","2225280522","2219078716","2212057299","2205778507","2199462598","2192769606","2185408567","2177364013","2168742374","2159456513","2149040803.5","2137625041","",
"IDA & IBRD total","IBT","Rural population","SP.RUR.TOTL","1747464072","1758462636","1779773432","1810551230","1841015737","1877707532","1917092327","1955865455","1995605268","2036906943","2079142353","2121626132","2162182209","2201237589","2238419871","2275969795","2311027433","2345166636","2376435882","2405346230","2433982139","2463003889","2494813422","2528036250","2560014417","2592131002","2625112219","2658978357","2692621351","2725787034","2758135463","2788988660","2818311656","2846504317","2873874113","2900190368","2925616228","2950099137","2973376637","2995221111","3015331943","3031714050","3044735229","3056689099","3067702804","3077859704","3087747680","3097473167","3105966468","3114067675","3121454399","3129902755","3138351592","3146492087","3154058094","3160763701","3167032724","3172730759","3177348664.5","3181041219","",
"IDA total","IDA","Rural population","SP.RUR.TOTL","326999510","333762455","340782218","348016258","355489776","363225882","371286107","379535996","387942968","396376773","404807455","413013703","421193336","429438295","437919123","448676063","457858397","467379172","477154089","487386582","497687830","508321389","519893393","531621805","543447701","555422598","567655985","580125922","592822699","605836440","618988489","632754379","646875852","661226220","675896561","690623429","705374868","720083837","734878555","749770947","764793977","779240033","793580144","807978993","822462564","836919363","851417547","866364057","880685946","894988959","909397100","924124248","938888994","953722481","968649527","983399688","998290350","1013274246","1028307861","1043416178","",
"IDA blend","IDB","Rural population","SP.RUR.TOTL","98104579","100057644","102168507","104352850","106614927","108952090","111364512","113849472","116409033","119040707","121724255","124335932","127040153","129813310","132713180","135781253","139034013","142497608","146094483","149820359","153731195","157565527","161511218","165501923","169543175","173643585","177795103","181985440","186207230","190359165","194429955","198697733","202954830","207232782","211514136","215840544","220257532","224743765","229253495","233732312","238202903","242233295","246192364","250184865","254222586","258344406","262561938","266877929","271270412","275703374","280291918","284956856","289548478","294165084","298800741","303439538","308071648","312680317","317232912","321740516","",
"Indonesia","IDN","Rural population","SP.RUR.TOTL","74951697","76744911","78586960","80478907","82427273","84435896","86501178","88616894","90777934","92973066","95196835","97442085","99501646","101495984","103475755","105437131","107370484","109276080","111153040","113013166","114855966","116501674","118004459","119431289","120748393","121940179","122992365","123909299","124694864","125368355","125929927","126236865","126343244","126328210","126176275","125888256","125468006","124928921","124272054","123516869","122673787","122688935","122659350","122589001","122474426","122327562","122139493","121915148","121655453","121376736","121125085","121099662","121055954","120980386","120841853","120631391","120343715","119993091","119578640","119115844","",
"IDA only","IDX","Rural population","SP.RUR.TOTL","228894931","233704811","238613711","243663408","248874849","254273792","259921595","265686524","271533935","277336066","283083200","288677771","294153183","299624985","305205943","312894810","318824384","324881564","331059606","337566223","343956635","350755862","358382175","366119882","373904526","381779013","389860882","398140482","406615469","415477275","424558534","434056646","443921022","453993438","464382425","474782885","485117336","495340072","505625060","516038635","526591074","537006738","547387780","557794128","568239978","578574957","588855609","599486128","609415534","619285585","629105182","639167392","649340516","659557397","669848786","679960150","690218702","700593929","711074949","721675662","",
